customer,sale_date,seller;
Cristina Xu,21.09.1992,Abraham Bennet;
Jacob Martinez,21.09.1992,Michael O'Leary;
Jared Gray,22.09.1992,Dirk Stringer;
Kaitlyn Allen,21.09.1992,Dirk Stringer;
Karen Huang,21.09.1992,Dirk Stringer;
Krista Gill,22.09.1992,Marjorie Green;
Kristen Li,21.09.1992,Michael O'Leary;
Levi Gonzalez,21.09.1992,Marjorie Green;
Mario Rai,21.09.1992,Abraham Bennet;
Mya Coleman,24.09.1992,Michael O'Leary;
Olivia Bennett,21.09.1992,Michael O'Leary;
Richard Martinez,21.09.1992,Abraham Bennet;
Samuel Sharma,22.09.1992,Michael O'Leary;
Tyrone Ruiz,21.09.1992,Marjorie Green;
Willie Gao,22.09.1992,Michael O'Leary;
