"name","operations","income"
Dirk Stringer,4192,2651992
Livia Karsen,2564,1819927
Albert Ringer,4695,1044995
Heather McBadden,4139,1023375
Innes del Castillo,4674,907597
Meander Smith,2051,350976
Dean Straight,4195,337400
Charlene Locksley,4682,292958
Sheryl Hunter,4686,292880
Sylvia Panteley,3604,168640
Ann Dull,4705,109678
Burt Gringlesby,4676,102947
Johnson White,5171,55998
Reginald Blotchet-Halls,4169,54824
Morningstar Greene,5190,49034
Anne Ringer,2632,39822
Michel DeFrance,4688,25088
Cheryl Carson,3659,24935
Abraham Bennet,9460,20755
Stearns MacFeather,4147,19496
Michael O'Leary,5757,0
Marjorie Green,6264,0
Akiko Yokomoto,0,
